day,sensor_description,hourly_counts
Friday,Town Hall (West),24393876
Friday,Flinders Street Station Underpass,21211433
Friday,Melbourne Central,19853833
Friday,Bourke Street Mall (South),18800045
Friday,Princes Bridge,18367835
Friday,Bourke Street Mall (North),18348011
Friday,Spencer St-Collins St (North),12951080
Friday,Flinders St-Elizabeth St (East),12619633
Friday,State Library,12265360
Friday,Southbank,10917020
Monday,Town Hall (West),19272251
Monday,Flinders Street Station Underpass,17752947
Monday,Melbourne Central,15577022
Monday,Bourke Street Mall (South),14689966
Monday,Princes Bridge,14521729
Monday,Bourke Street Mall (North),14218144
Monday,Spencer St-Collins St (North),11777417
Monday,Flinders St-Elizabeth St (East),11537518
Monday,State Library,10339353
Monday,Flagstaff Station,9654896
Saturday,Town Hall (West),22499236
Saturday,Melbourne Central,19012837
Saturday,Princes Bridge,18233579
Saturday,Bourke Street Mall (South),17003142
Saturday,Bourke Street Mall (North),16748863
Saturday,Flinders Street Station Underpass,15314200
Saturday,Southbank,10878637
Saturday,State Library,10673040
Saturday,Flinders St-Elizabeth St (East),10583641
Saturday,The Arts Centre,9753895
Sunday,Town Hall (West),18172940
Sunday,Melbourne Central,15544124
Sunday,Princes Bridge,15480437
Sunday,Bourke Street Mall (North),13626411
Sunday,Bourke Street Mall (South),13405435
Sunday,Flinders Street Station Underpass,12931378
Sunday,Flinders St-Elizabeth St (East),9225154
Sunday,Southbank,9037869
Sunday,State Library,8931922
Sunday,The Arts Centre,8853109
Thursday,Town Hall (West),21187600
Thursday,Flinders Street Station Underpass,19413550
Thursday,Melbourne Central,17019854
Thursday,Bourke Street Mall (South),16322770
Thursday,Bourke Street Mall (North),15965870
Thursday,Princes Bridge,15704870
Thursday,Spencer St-Collins St (North),12928593
Thursday,Flinders St-Elizabeth St (East),12088848
Thursday,State Library,11091657
Thursday,Flagstaff Station,10454900
Tuesday,Town Hall (West),19457168
Tuesday,Flinders Street Station Underpass,18461430
Tuesday,Melbourne Central,16073224
Tuesday,Bourke Street Mall (South),14429616
Tuesday,Princes Bridge,14396109
Tuesday,Bourke Street Mall (North),14273069
Tuesday,Spencer St-Collins St (North),12543187
Tuesday,Flinders St-Elizabeth St (East),11864474
Tuesday,State Library,10617852
Tuesday,Flagstaff Station,10430342
Wednesday,Town Hall (West),20360823
Wednesday,Flinders Street Station Underpass,19002309
Wednesday,Melbourne Central,16657083
Wednesday,Princes Bridge,15592856
Wednesday,Bourke Street Mall (South),15343311
Wednesday,Bourke Street Mall (North),15043324
Wednesday,Spencer St-Collins St (North),12922557
Wednesday,Flinders St-Elizabeth St (East),12031778
Wednesday,State Library,11000867
Wednesday,Flagstaff Station,10553562
