month,sensor_description,hourly_counts
April,Town Hall (West),12463968
April,Melbourne Central,10862976
April,Princes Bridge,10660422
April,Flinders Street Station Underpass,10135936
April,Bourke Street Mall (North),9194871
April,Bourke Street Mall (South),8815472
April,Flinders St-Elizabeth St (East),7561340
April,Spencer St-Collins St (North),6215026
April,State Library,6159571
April,The Arts Centre,6090009
August,Town Hall (West),11675587
August,Melbourne Central,10477135
August,Flinders Street Station Underpass,9214815
August,Bourke Street Mall (North),8299742
August,Bourke Street Mall (South),8282631
August,Princes Bridge,7861189
August,State Library,6404288
August,Spencer St-Collins St (North),5933432
August,Flinders St-Elizabeth St (East),4805402
August,Flagstaff Station,4648096
December,Town Hall (West),14578191
December,Bourke Street Mall (South),13134233
December,Flinders Street Station Underpass,11352132
December,Princes Bridge,10750919
December,Bourke Street Mall (North),10478082
December,Melbourne Central,9958892
December,Flinders St-Elizabeth St (East),7643186
December,Southbank,7087552
December,State Library,6079839
December,Spencer St-Collins St (North),5946613
February,Town Hall (West),11156945
February,Flinders Street Station Underpass,10292516
February,Princes Bridge,9493960
February,Melbourne Central,9004266
February,Bourke Street Mall (North),8335328
February,Bourke Street Mall (South),8134134
February,Spencer St-Collins St (North),6591467
February,Flinders St-Elizabeth St (East),6547085
February,State Library,5708978
February,The Arts Centre,5657723
January,Town Hall (West),11967639
January,Princes Bridge,10796073
January,Flinders Street Station Underpass,10279628
January,Bourke Street Mall (South),9106886
January,Melbourne Central,8433264
January,Bourke Street Mall (North),8136291
January,Flinders St-Elizabeth St (East),6307184
January,Southbank,6279974
January,The Arts Centre,6214671
January,Spencer St-Collins St (North),6096117
July,Town Hall (West),12555809
July,Melbourne Central,10445330
July,Flinders Street Station Underpass,10203582
July,Bourke Street Mall (North),9103779
July,Bourke Street Mall (South),9048971
July,Princes Bridge,8531264
July,State Library,6434716
July,Spencer St-Collins St (North),6016559
July,Flinders St-Elizabeth St (East),5883997
July,Southbank,4994974
June,Town Hall (West),11934368
June,Melbourne Central,10287904
June,Flinders Street Station Underpass,9867379
June,Bourke Street Mall (North),9455301
June,Princes Bridge,8997795
June,Bourke Street Mall (South),8818621
June,Flinders St-Elizabeth St (East),6549459
June,Spencer St-Collins St (North),6139724
June,State Library,5463552
June,Southbank,5242526
March,Town Hall (West),12655259
March,Melbourne Central,11737486
March,Flinders Street Station Underpass,11419121
March,Princes Bridge,11001403
March,Bourke Street Mall (North),9643824
March,Bourke Street Mall (South),9017586
March,Flinders St-Elizabeth St (East),7566831
March,Spencer St-Collins St (North),7149300
March,State Library,7091544
March,Southbank,5930487
May,Town Hall (West),11591495
May,Flinders Street Station Underpass,10787077
May,Melbourne Central,10615667
May,Bourke Street Mall (North),9774547
May,Princes Bridge,9561337
May,Bourke Street Mall (South),8901477
May,Flinders St-Elizabeth St (East),7592610
May,State Library,6580684
May,Spencer St-Collins St (North),6009446
May,Southbank,5862252
November,Town Hall (West),12136661
November,Flinders Street Station Underpass,10598560
November,Bourke Street Mall (South),9772438
November,Melbourne Central,9752026
November,Princes Bridge,8942629
November,Bourke Street Mall (North),8871745
November,Flinders St-Elizabeth St (East),7197048
November,Spencer St-Collins St (North),6661345
November,State Library,6630549
November,Southbank,5660775
October,Town Hall (West),11152763
October,Flinders Street Station Underpass,10333881
October,Bourke Street Mall (North),8737215
October,Bourke Street Mall (South),8675275
October,Melbourne Central,8260476
October,Princes Bridge,7877358
October,State Library,6942115
October,Spencer St-Collins St (North),6728313
October,Flinders St-Elizabeth St (East),5860962
October,Southbank,5276274
September,Town Hall (West),11475209
September,Melbourne Central,9902555
September,Flinders Street Station Underpass,9602620
September,Bourke Street Mall (South),8286561
September,Bourke Street Mall (North),8192967
September,Princes Bridge,7823066
September,Flinders St-Elizabeth St (East),6435942
September,State Library,6321620
September,Spencer St-Collins St (North),6126071
September,The Arts Centre,4742644
